scntfcN,taxnRnk,kingdom,order,family,genus,species
Daltonia pulvinata Mitt.,SPECIES,Plantae,Hookeriales,Daltoniaceae,Daltonia,Daltonia pulvinata
Bryum argenteum Hedw.,SPECIES,Plantae,Bryales,Bryaceae,Bryum,Bryum argenteum
Amphidium tortuosum (Hornsch.) Cufod.,SPECIES,Plantae,Dicranales,Amphidiaceae,Amphidium,Amphidium tortuosum
Breutelia polygastrica (Müll.Hal.) Broth.,SPECIES,Plantae,Bartramiales,Bartramiaceae,Breutelia,Breutelia polygastrica
Metzgeria pulvinata Steph.,SPECIES,Plantae,Metzgeriales,Metzgeriaceae,Metzgeria,Metzgeria pulvinata
Leptopterigynandrum tenuicaule (R.S.Williams) S.He,SPECIES,Plantae,Hypnales,Taxiphyllaceae,Leptopterigynandrum,Leptopterigynandrum tenuicaule
Oxystegus tenuirostris (Hook. & Taylor) A.J.E.Sm.,SPECIES,Plantae,Pottiales,Pottiaceae,Chionoloma,Chionoloma tenuirostre
Breutelia austroarcuata (Müll.Hal.) Paris,SPECIES,Plantae,Bartramiales,Bartramiaceae,Breutelia,Breutelia austroarcuata
Brachiolejeunea laxifolia (Taylor) Schiffn.,SPECIES,Plantae,Porellales,Lejeuneaceae,Brachiolejeunea,Brachiolejeunea laxifolia
Ullucus tuberosus Caldas,SPECIES,Plantae,Caryophyllales,Basellaceae,Ullucus,Ullucus tuberosus
Caiophora madrequisa Killip,SPECIES,Plantae,Cornales,Loasaceae,Caiophora,Caiophora madrequisa
Solanum hutchisonii (J.F.Macbr.) Bohs,SPECIES,Plantae,Solanales,Solanaceae,Solanum,Solanum hutchisonii
Eucalyptus globulus Labill.,SPECIES,Plantae,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus globulus
Callianthe picta (Gillies ex Hook. & Arn.) Donnell,SPECIES,Plantae,Malvales,Malvaceae,Callianthe,Callianthe picta
Phylloscirpus acaulis (Phil.) Goetgh. & D.A.Simpson,SPECIES,Plantae,Poales,Cyperaceae,Phylloscirpus,Phylloscirpus acaulis
Masdevallia veitchiana Rchb.f.,SPECIES,Plantae,Asparagales,Orchidaceae,Masdevallia,Masdevallia veitchiana
Plantago rigida Kunth,SPECIES,Plantae,Lamiales,Plantaginaceae,Plantago,Plantago rigida
Ribes hirtum Humb. & Bonpl. ex Roem. & Schult.,SPECIES,Plantae,Saxifragales,Grossulariaceae,Ribes,Ribes hirtum
Deyeuxia violacea Wedd.,SPECIES,Plantae,Poales,Poaceae,Cinnagrostis,Cinnagrostis violacea
Viola pygmaea Juss. ex Poir.,SPECIES,Plantae,Malpighiales,Violaceae,Viola,Viola pygmaea
Viola pusillima Wedd.,SPECIES,Plantae,Malpighiales,Violaceae,Viola,Viola pusillima
Azorella biloba (Schltdl.) Wedd.,SPECIES,Plantae,Apiales,Apiaceae,Azorella,Azorella biloba
Rockhausenia nubigena (Kunth) D.J.N.Hind,SPECIES,Plantae,Asterales,Asteraceae,Rockhausenia,Rockhausenia nubigena
Begonia veitchii Hook.fil.,SPECIES,Plantae,Cucurbitales,Begoniaceae,Begonia,Begonia veitchii
Lysipomia laciniata subsp. laciniata,SUBSPECIES,Plantae,Asterales,Campanulaceae,Lysipomia,Lysipomia laciniata
Arenaria tetragyna Willd. ex D.F.K.Schltdl.,SPECIES,Plantae,Caryophyllales,Caryophyllaceae,Arenaria,Arenaria tetragyna
Hackelia revoluta (Ruiz & Pav.) I.M.Johnst.,SPECIES,Plantae,Boraginales,Boraginaceae,Hackelia,Hackelia revoluta
Ipomoea pauciflora subsp. vargasiana (O'Donell) McPherson,SUBSPECIES,Plantae,Solanales,Convolvulaceae,Ipomoea,Ipomoea pauciflora
Amaranthus caudatus L.,SPECIES,Plantae,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus caudatus
Amaranthus hybridus L.,SPECIES,Plantae,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus hybridus
Amaranthus powellii S.Watson,SPECIES,Plantae,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus powellii
Amaranthus tricolor L.,SPECIES,Plantae,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tricolor
Solanum stenotomum subsp. goniocalyx (Juz. & Bukasov) Hawkes,SUBSPECIES,Plantae,Solanales,Solanaceae,Solanum,Solanum tuberosum
Hordeum vulgare subsp. vulgare,SUBSPECIES,Plantae,Poales,Poaceae,Hordeum,Hordeum vulgare
Hordeum vulgare subsp. distichon (L.) Körn.,SUBSPECIES,Plantae,Poales,Poaceae,Hordeum,Hordeum distichon
Begonia acerifolia Kunth,SPECIES,Plantae,Cucurbitales,Begoniaceae,Begonia,Begonia acerifolia
Salvia dombeyi Epling,SPECIES,Plantae,Lamiales,Lamiaceae,Salvia,Salvia dombeyi
Coriaria ruscifolia L.,SPECIES,Plantae,Cucurbitales,Coriariaceae,Coriaria,Coriaria ruscifolia
Gaultheria myrsinoides Kunth,SPECIES,Plantae,Ericales,Ericaceae,Gaultheria,Gaultheria myrsinoides
Phlegmariurus crassus (Humb. & Bonpl. ex Willd.) B.Øllg.,SPECIES,Plantae,Lycopodiales,Lycopodiaceae,Phlegmariurus,Phlegmariurus crassus
Iris albicans Lange,SPECIES,Plantae,Asparagales,Iridaceae,Iris,Iris florentina
Euphorbia pulcherrima Willd. ex Klotzsch,SPECIES,Plantae,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia pulcherrima
Persea americana Mill.,SPECIES,Plantae,Laurales,Lauraceae,Persea,Persea americana
Phoenix canariensis H.Wildpret,SPECIES,Plantae,Arecales,Arecaceae,Phoenix,Phoenix canariensis
Prunus persica (L.) Stokes,SPECIES,Plantae,Rosales,Rosaceae,Prunus,Prunus persica
Verbascum virgatum Stokes,SPECIES,Plantae,Lamiales,Scrophulariaceae,Verbascum,Verbascum virgatum
Nasa vargasii (J.F.Macbr) Weigend,SPECIES,Plantae,Cornales,Loasaceae,Nasa,Nasa vargasii
Zinnia peruviana (L.) L.,SPECIES,Plantae,Asterales,Asteraceae,Zinnia,Zinnia peruviana
Castilleja fissifolia L.fil.,SPECIES,Plantae,Lamiales,Orobanchaceae,Castilleja,Castilleja fissifolia
Oenothera multicaulis Ruiz & Pav.,SPECIES,Plantae,Myrtales,Onagraceae,Oenothera,Oenothera multicaulis
Ribes cuneifolium Ruiz & Pav.,SPECIES,Plantae,Saxifragales,Grossulariaceae,Ribes,Ribes cuneifolium
Streptosolen jamesonii (Benth.) Miers,SPECIES,Plantae,Solanales,Solanaceae,Streptosolen,Streptosolen jamesonii
Tagetes patula L.,SPECIES,Plantae,Asterales,Asteraceae,Tagetes,Tagetes erecta
Medicago sativa L.,SPECIES,Plantae,Fabales,Fabaceae,Medicago,Medicago sativa
Ricinus communis L.,SPECIES,Plantae,Malpighiales,Euphorbiaceae,Ricinus,Ricinus communis
Spartium junceum L.,SPECIES,Plantae,Fabales,Fabaceae,Spartium,Spartium junceum
Fuchsia boliviana Carrière,SPECIES,Plantae,Myrtales,Onagraceae,Fuchsia,Fuchsia boliviana
Brassica rapa subsp. oleifera (DC.) Metzg.,SUBSPECIES,Plantae,Brassicales,Brassicaceae,Brassica,Brassica rapa
Vinca major L.,SPECIES,Plantae,Gentianales,Apocynaceae,Vinca,Vinca major
Opuntia ficus-indica (L.) Mill.,SPECIES,Plantae,Caryophyllales,Cactaceae,Opuntia,Opuntia ficus-indica
Weberbauerocereus cuzcoensis Kníze,SPECIES,Plantae,Caryophyllales,Cactaceae,Weberbauerocereus,Weberbauerocereus cuzcoensis
Argyrochosma nivea (Poir.) Windham,SPECIES,Plantae,Polypodiales,Pteridaceae,Argyrochosma,Argyrochosma nivea
Cosmos peucedanifolius Wedd.,SPECIES,Plantae,Asterales,Asteraceae,Cosmos,Cosmos peucedanifolius
Siphocampylus tupaeformis Zahlbr.,SPECIES,Plantae,Asterales,Campanulaceae,Siphocampylus,Siphocampylus tupaeformis
Trifolium amabile Kunth,SPECIES,Plantae,Fabales,Fabaceae,Trifolium,Trifolium amabile
Ipomoea purpurea (L.) Roth,SPECIES,Plantae,Solanales,Convolvulaceae,Ipomoea,Ipomoea purpurea
Rubus peruvianus Fritsch ex Szyszyl.,SPECIES,Plantae,Rosales,Rosaceae,Rubus,Rubus peruvianus
Asclepias curassavica L.,SPECIES,Plantae,Gentianales,Apocynaceae,Asclepias,Asclepias curassavica
Leonotis nepetifolia (L.) R.Br.,SPECIES,Plantae,Lamiales,Lamiaceae,Leonotis,Leonotis nepetifolia
Calceolaria tripartita Ruiz & Pav.,SPECIES,Plantae,Lamiales,Calceolariaceae,Calceolaria,Calceolaria tripartita
Tillandsia streptocarpa Baker,SPECIES,Plantae,Poales,Bromeliaceae,Tillandsia,Tillandsia streptocarpa
Tillandsia minutiflora Donadio,SPECIES,Plantae,Poales,Bromeliaceae,Tillandsia,Tillandsia minutiflora
Furcraea andina Trel.,SPECIES,Plantae,Asparagales,Asparagaceae,Furcraea,Furcraea andina
Cleistocactus pungens F.Ritter,SPECIES,Plantae,Caryophyllales,Cactaceae,Cleistocactus,Cleistocactus pungens
Werneria dactylophylla Sch.Bip.,SPECIES,Plantae,Asterales,Asteraceae,Werneria,Werneria dactylophylla
Mentzelia scabra Kunth,SPECIES,Plantae,Cornales,Loasaceae,Mentzelia,Mentzelia scabra
Dalechampia aristolochiifolia Kunth,SPECIES,Plantae,Malpighiales,Euphorbiaceae,Dalechampia,Dalechampia aristolochiifolia
Vachellia macracantha (Humb. & Bonpl. ex Willd.) Seigler & Ebinger,SPECIES,Plantae,Fabales,Fabaceae,Vachellia,Vachellia macracantha
Tecoma stans (L.) Juss. ex Kunth,SPECIES,Plantae,Lamiales,Bignoniaceae,Tecoma,Tecoma stans
Achyrocline alata (Kunth) DC.,SPECIES,Plantae,Asterales,Asteraceae,Achyrocline,Achyrocline alata
Quinchamalium chilense Molina,SPECIES,Plantae,Santalales,Schoepfiaceae,Quinchamalium,Quinchamalium chilense
Berberis humbertiana J.F.Macbr.,SPECIES,Plantae,Ranunculales,Berberidaceae,Berberis,Berberis humbertiana
Equisetum giganteum L.,SPECIES,Plantae,Equisetales,Equisetaceae,Equisetum,Equisetum giganteum
Daucus montanus Humb. & Bonpl. ex Schult.,SPECIES,Plantae,Apiales,Apiaceae,Daucus,Daucus montanus
Erythrina falcata Benth.,SPECIES,Plantae,Fabales,Fabaceae,Erythrina,Erythrina falcata
Ficus carica L.,SPECIES,Plantae,Rosales,Moraceae,Ficus,Ficus carica
Neobartsia camporum (Diels) Uribe-Convers & Tank,SPECIES,Plantae,Lamiales,Orobanchaceae,Neobartsia,Neobartsia camporum
Pyrolirion tubiflorum (L'Hér.) M.Roem.,SPECIES,Plantae,Asparagales,Amaryllidaceae,Pyrolirion,Pyrolirion tubiflorum
Jacaranda acutifolia Humb. & Bonpl.,SPECIES,Plantae,Lamiales,Bignoniaceae,Jacaranda,Jacaranda acutifolia
Zephyranthes andina (R.E.Fr.) Traub,SPECIES,Plantae,Asparagales,Amaryllidaceae,Zephyranthes,Zephyranthes andina
Telipogon antisuyuensis Nauray & A.Galán,SPECIES,Plantae,Asparagales,Orchidaceae,Telipogon,Telipogon antisuyuensis
Festuca horridula Pilg.,SPECIES,Plantae,Poales,Poaceae,Festuca,Festuca horridula
Escallonia herrerae Mattf.,SPECIES,Plantae,Escalloniales,Escalloniaceae,Escallonia,Escallonia herrerae
Aegiphila mortonii Moldenke,SPECIES,Plantae,Lamiales,Lamiaceae,Aegiphila,Aegiphila mortonii
Myrsine dependens (Ruiz & Pav.) Spreng.,SPECIES,Plantae,Ericales,Primulaceae,Myrsine,Myrsine dependens
Heliopsis buphthalmoides (Jacq.) Dunal,SPECIES,Plantae,Asterales,Asteraceae,Heliopsis,Heliopsis buphthalmoides
Baccharis pulchella Sch.Bip. ex Griseb.,SPECIES,Plantae,Asterales,Asteraceae,Baccharis,Baccharis pulchella
Tibouchina pleromoides (Naudin) J.F.Macbr.,SPECIES,Plantae,Myrtales,Melastomataceae,Chaetogastra,Chaetogastra pleromoides
Weinmannia producta Moric.,SPECIES,Plantae,Oxalidales,Cunoniaceae,Weinmannia,Weinmannia trichosperma
Pecluma curvans (Mett.) M.G.Price,SPECIES,Plantae,Polypodiales,Polypodiaceae,Pecluma,Pecluma curvans
Caiophora buraeavii Urb. & Gilg,SPECIES,Plantae,Cornales,Loasaceae,Caiophora,Caiophora buraeavii
Senecio calcensis Cabrera & Zardini,SPECIES,Plantae,Asterales,Asteraceae,Senecio,Senecio calcensis
Gynoxys longifolia Wedd.,SPECIES,Plantae,Asterales,Asteraceae,Gynoxys,Gynoxys longifolia
Buddleja montana Britton,SPECIES,Plantae,Lamiales,Scrophulariaceae,Buddleja,Buddleja montana
Escallonia myrtilloides L.fil.,SPECIES,Plantae,Escalloniales,Escalloniaceae,Escallonia,Escallonia myrtilloides
Urtica leptophylla Kunth,SPECIES,Plantae,Rosales,Urticaceae,Urtica,Urtica leptophylla
Aristeguietia persicifolia (Kunth) R.M.King & H.Rob.,SPECIES,Plantae,Asterales,Asteraceae,Aristeguietia,Aristeguietia persicifolia
Weinmannia anisophylla Standl. & L.O.Williams,SPECIES,Plantae,Oxalidales,Cunoniaceae,Weinmannia,Weinmannia anisophylla
Baccharis pulchella Sch.Bip.,SPECIES,Plantae,Asterales,Asteraceae,Baccharis,Baccharis pulchella
Crotalaria incana L.,SPECIES,Plantae,Fabales,Fabaceae,Crotalaria,Crotalaria incana
Lantana viscosa Pohl ex Schauer,SPECIES,Plantae,Lamiales,Verbenaceae,Lantana,Lantana viscosa
Conyza sumatrensis (Retz.) E.Walker,SPECIES,Plantae,Asterales,Asteraceae,Erigeron,Erigeron sumatrensis
Senegalia ebingeri Seigler,SPECIES,Plantae,Fabales,Fabaceae,Senegalia,Senegalia ebingeri
Tournefortia volubilis L.,SPECIES,Plantae,Boraginales,Heliotropiaceae,Myriopus,Myriopus volubilis
Ophryosporus peruvianus (J.F.Gmel.) R.M.King & H.Rob.,SPECIES,Plantae,Asterales,Asteraceae,Ophryosporus,Ophryosporus peruvianus
Vachellia aroma (Gillies ex Hook. & Arn.) Seigler & Ebinger,SPECIES,Plantae,Fabales,Fabaceae,Vachellia,Vachellia aroma
Sida cordifolia L.,SPECIES,Plantae,Malvales,Malvaceae,Sida,Sida cordifolia
Nicotiana benavidesii Goodsp.,SPECIES,Plantae,Solanales,Solanaceae,Nicotiana,Nicotiana benavidesii
Passiflora trifoliata Cav.,SPECIES,Plantae,Malpighiales,Passifloraceae,Passiflora,Passiflora trifoliata
Apurimacia boliviana (Britton) Lavin,SPECIES,Plantae,Fabales,Fabaceae,Apurimacia,Apurimacia boliviana
Cyathostegia matthewsii (Benth.) Schery,SPECIES,Plantae,Fabales,Fabaceae,Cyathostegia,Cyathostegia matthewsii
Convolvulus crenatifolius subsp. crenatifolius,SUBSPECIES,Plantae,Solanales,Convolvulaceae,Convolvulus,Convolvulus crenatifolius
Solanum saponaceum Dunal,SPECIES,Plantae,Solanales,Solanaceae,Solanum,Solanum saponaceum
Poissonia orbicularis (Benth.) Hauman,SPECIES,Plantae,Fabales,Fabaceae,Poissonia,Poissonia orbicularis
Cardiospermum corindum L.,SPECIES,Plantae,Sapindales,Sapindaceae,Cardiospermum,Cardiospermum corindum
Serjania leucosepala Radlk.,SPECIES,Plantae,Sapindales,Sapindaceae,Serjania,Serjania leucosepala
Serjania striata Radlk.,SPECIES,Plantae,Sapindales,Sapindaceae,Serjania,Serjania striata
Esenbeckia warscewiczii Engl.,SPECIES,Plantae,Sapindales,Rutaceae,Esenbeckia,Esenbeckia warscewiczii
Pluchea zamalloae (Cabrera) H.Rob. & Cuatrec.,SPECIES,Plantae,Asterales,Asteraceae,Pluchea,Pluchea zamalloae
Tillandsia capillaris Ruiz & Pav.,SPECIES,Plantae,Poales,Bromeliaceae,Tillandsia,Tillandsia capillaris
Heliotropium pilosum Ruiz & Pav.,SPECIES,Plantae,Boraginales,Heliotropiaceae,Euploca,Euploca pilosa
Tillandsia bryoides Griseb. ex Baker,SPECIES,Plantae,Poales,Bromeliaceae,Tillandsia,Tillandsia tricholepis
Mentzelia cordata Kellogg,SPECIES,Plantae,Cornales,Loasaceae,Eucnide,Eucnide cordata
Stenostephanus antiquorum J.R.I.Wood,SPECIES,Plantae,Lamiales,Acanthaceae,Stenostephanus,Stenostephanus antiquorum
Geoffroea spinosa Jacq.,SPECIES,Plantae,Fabales,Fabaceae,Geoffroea,Geoffroea spinosa
Chromolaena laevigata (Lam.) R.M.King & H.Rob.,SPECIES,Plantae,Asterales,Asteraceae,Chromolaena,Chromolaena laevigata
Mandevilla brachyloba (Müll.Arg.) Schum.,SPECIES,Plantae,Gentianales,Apocynaceae,Mandevilla,Mandevilla brachyloba
Buddleja americana L.,SPECIES,Plantae,Lamiales,Scrophulariaceae,Buddleja,Buddleja americana
Scirpus asper J.Presl & C.Presl,SPECIES,Plantae,Poales,Cyperaceae,Rhodoscirpus,Rhodoscirpus asper
Lantana horrida subsp. tiliifolia (Cham.) R.W.Sanders,SUBSPECIES,Plantae,Lamiales,Verbenaceae,Lantana,Lantana horrida
Solanum ochranthum Humb. & Bonpl. ex Dunal,SPECIES,Plantae,Solanales,Solanaceae,Solanum,Solanum ochranthum
Liabum solidagineum (Kunth) Less.,SPECIES,Plantae,Asterales,Asteraceae,Liabum,Liabum solidagineum
Manettia poliodes Standl.,SPECIES,Plantae,Gentianales,Rubiaceae,Manettia,Manettia poliodes
Nicandra physalodes (L.) Gaertn.,SPECIES,Plantae,Solanales,Solanaceae,Nicandra,Nicandra physalodes
Nicotiana tomentosiformis Goodsp.,SPECIES,Plantae,Solanales,Solanaceae,Nicotiana,Nicotiana tomentosiformis
Aristida adscensionis L.,SPECIES,Plantae,Poales,Poaceae,Aristida,Aristida adscensionis
Solanum luteoalbum Pers.,SPECIES,Plantae,Solanales,Solanaceae,Solanum,Solanum luteoalbum
Adiantum digitatum Hook.,SPECIES,Plantae,Polypodiales,Pteridaceae,Adiantum,Adiantum digitatum
Solanum nutans Ruiz & Pav.,SPECIES,Plantae,Solanales,Solanaceae,Solanum,Solanum nutans
Siphocampylus corynoides E.Wimm.,SPECIES,Plantae,Asterales,Campanulaceae,Siphocampylus,Siphocampylus corynoides
Ruellia floribunda Hook.,SPECIES,Plantae,Lamiales,Acanthaceae,Ruellia,Ruellia floribunda
Macroptilium atropurpureum (DC.) Urb.,SPECIES,Plantae,Fabales,Fabaceae,Macroptilium,Macroptilium atropurpureum
"Solanum chmielewskii (C.M.Rick, Kesicki, Fobes & M.Holle) D.M.Spooner, G.J.Anderson & R.K.Jansen",SPECIES,Plantae,Solanales,Solanaceae,Solanum,Solanum chmielewskii
Ziziphus weberbaueri Pilg.,SPECIES,Plantae,Rosales,Rhamnaceae,Sarcomphalus,Sarcomphalus mistol
Passiflora foetida L.,SPECIES,Plantae,Malpighiales,Passifloraceae,Passiflora,Passiflora foetida
Symphyopappus apurimacensis H.Rob.,SPECIES,Plantae,Asterales,Asteraceae,Symphyopappus,Symphyopappus apurimacensis
Ferreyranthus vaginans (Muschl.) H.Rob. & Brettell,SPECIES,Plantae,Asterales,Asteraceae,Ferreyranthus,Ferreyranthus vaginans
Dicliptera peruviana (Lam.) Juss.,SPECIES,Plantae,Lamiales,Acanthaceae,Dicliptera,Dicliptera peruviana
Tecoma arequipensis (Sprague) Sandwith,SPECIES,Plantae,Lamiales,Bignoniaceae,Tecoma,Tecoma fulva
Flaveria bidentis (L.) Kuntze,SPECIES,Plantae,Asterales,Asteraceae,Flaveria,Flaveria bidentis
Mentzelia scabra subsp. chilensis (Gay) Weigend,SUBSPECIES,Plantae,Cornales,Loasaceae,Mentzelia,Mentzelia scabra
Solanum lycopersicum L.,SPECIES,Plantae,Solanales,Solanaceae,Solanum,Solanum lycopersicum
Chloris virgata Sw.,SPECIES,Plantae,Poales,Poaceae,Chloris,Chloris virgata
Geoffroea decorticans (Gillies ex Hook. & Arn.) Burkart,SPECIES,Plantae,Fabales,Fabaceae,Geoffroea,Geoffroea decorticans
Bartsia inaequalis subsp. brachyantha (Diels) Molau,SUBSPECIES,Plantae,Lamiales,Orobanchaceae,Neobartsia,Neobartsia inaequalis
Muhlenbergia cenchroides (Humb. & Bonpl. ex Willd.) P.M.Peterson,SPECIES,Plantae,Poales,Poaceae,Muhlenbergia,Muhlenbergia cenchroides
Diastatea micrantha (Kunth) McVaugh,SPECIES,Plantae,Asterales,Campanulaceae,Diastatea,Diastatea micrantha
Gomphocarpus physocarpus E.Mey.,SPECIES,Plantae,Gentianales,Apocynaceae,Gomphocarpus,Gomphocarpus physocarpus
Cenchrus echinatus L.,SPECIES,Plantae,Poales,Poaceae,Cenchrus,Cenchrus echinatus
Cucumis dipsaceus Ehrenb. ex Spach,SPECIES,Plantae,Cucurbitales,Cucurbitaceae,Cucumis,Cucumis dipsaceus
Commelina fasciculata Ruiz & Pav.,SPECIES,Plantae,Commelinales,Commelinaceae,Commelina,Commelina tuberosa
Bartsia thiantha Diels,SPECIES,Plantae,Lamiales,Orobanchaceae,Neobartsia,Neobartsia thiantha
Solanum anomalostemon S.Knapp & M.Nee,SPECIES,Plantae,Solanales,Solanaceae,Solanum,Solanum anomalostemon
Anemia ferruginea Kunth,SPECIES,Plantae,Schizaeales,Anemiaceae,Anemia,Anemia ferruginea
Koanophyllon stipuliferum (Rusby) R.M.King & H.Rob.,SPECIES,Plantae,Asterales,Asteraceae,Koanophyllon,Koanophyllon solidaginoides
Sessea stipulata Ruiz & Pav.,SPECIES,Plantae,Solanales,Solanaceae,Sessea,Sessea stipulata
Aloysia fiebrigii (Hayek) Moldenke,SPECIES,Plantae,Lamiales,Verbenaceae,Aloysia,Aloysia fiebrigii
Onoseris cabrerae Ferreyra,SPECIES,Plantae,Asterales,Asteraceae,Onoseris,Onoseris cabrerae
Onoseris albicans (D.Don) Ferreyra,SPECIES,Plantae,Asterales,Asteraceae,Onoseris,Onoseris albicans
Euphorbia laurifolia Juss. ex Lam.,SPECIES,Plantae,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia laurifolia
Gonolobus parviflorus Decne.,SPECIES,Plantae,Gentianales,Apocynaceae,Gonolobus,Gonolobus parviflorus
Baccharis quitensis Kunth,SPECIES,Plantae,Asterales,Asteraceae,Baccharis,Baccharis quitensis
Poissonia hypoleuca (Speg.) Lillo,SPECIES,Plantae,Fabales,Fabaceae,Poissonia,Poissonia hypoleuca
Turbina cordata (Choisy) D.F.Austin & Staples,SPECIES,Plantae,Solanales,Convolvulaceae,Ipomoea,Ipomoea sericosepala
Weinmannia crassifolia Ruiz & Pav. ex López,SPECIES,Plantae,Oxalidales,Cunoniaceae,Weinmannia,Weinmannia crassifolia
Cronquistianthus volkensii (Hieron.) R.M.King & H.Rob.,SPECIES,Plantae,Asterales,Asteraceae,Cronquistianthus,Cronquistianthus volkensii
Euphorbia lasiocarpa Klotzsch,SPECIES,Plantae,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia lasiocarpa
Gaya calyptrata (Cav.) Kunth ex K.Schum.,SPECIES,Plantae,Malvales,Malvaceae,Gaya,Gaya calyptrata
Arracacia xanthorrhiza Bancr.,SPECIES,Plantae,Apiales,Apiaceae,Arracacia,Arracacia xanthorrhiza
Pectis sessiliflora (Less.) Sch.Bip.,SPECIES,Plantae,Asterales,Asteraceae,Pectis,Pectis sessiliflora
Ipomoea cuscoensis J.R.I.Wood & P.Muñoz,SPECIES,Plantae,Solanales,Convolvulaceae,Ipomoea,Ipomoea cuscoensis
Asplenium monanthes L.,SPECIES,Plantae,Polypodiales,Aspleniaceae,Asplenium,Asplenium monanthes
Lippia antaica Loes. & Moldenke,SPECIES,Plantae,Lamiales,Verbenaceae,Lippia,Lippia antaica
Anoda cristata (L.) Schltdl.,SPECIES,Plantae,Malvales,Malvaceae,Anoda,Anoda cristata
Solanum physalifolium Rusby,SPECIES,Plantae,Solanales,Solanaceae,Solanum,Solanum physalifolium
Richardia brasiliensis Gomes,SPECIES,Plantae,Gentianales,Rubiaceae,Richardia,Richardia brasiliensis
Pellaea ovata (Desv.) Weath.,SPECIES,Plantae,Polypodiales,Pteridaceae,Pellaea,Pellaea ovata
Heteropogon contortus (L.) P.Beauv. ex Roem. & Schult.,SPECIES,Plantae,Poales,Poaceae,Heteropogon,Heteropogon contortus
Heliotropium incanum Ruiz & Pav.,SPECIES,Plantae,Boraginales,Heliotropiaceae,Heliotropium,Heliotropium incanum
Polystichum montevidense (Spreng.) Rosenst.,SPECIES,Plantae,Polypodiales,Dryopteridaceae,Polystichum,Polystichum montevidense
Pennisetum weberbaueri Mez,SPECIES,Plantae,Poales,Poaceae,Cenchrus,Cenchrus weberbaueri
Sida spinosa L.,SPECIES,Plantae,Malvales,Malvaceae,Sida,Sida spinosa
Cyperus rotundus L.,SPECIES,Plantae,Poales,Cyperaceae,Cyperus,Cyperus rotundus
Eragrostis cilianensis (All.) Vignolo ex Janch.,SPECIES,Plantae,Poales,Poaceae,Eragrostis,Eragrostis cilianensis
Monnina filifolia Chodat,SPECIES,Plantae,Fabales,Polygalaceae,Monnina,Monnina filifolia
Philibertia solanoides Kunth,SPECIES,Plantae,Gentianales,Apocynaceae,Philibertia,Philibertia solanoides
Schkuhria pinnata (Lam.) Kuntze ex Thell.,SPECIES,Plantae,Asterales,Asteraceae,Schkuhria,Schkuhria pinnata
Cheilanthes incarum Maxon,SPECIES,Plantae,Polypodiales,Pteridaceae,Cheilanthes,Cheilanthes incarum
Spermacoce confusa Rendle,SPECIES,Plantae,Gentianales,Rubiaceae,Spermacoce,Spermacoce confusa
Richardia scabra L.,SPECIES,Plantae,Gentianales,Rubiaceae,Richardia,Richardia scabra
Mentzelia chilensis Gay,SPECIES,Plantae,Cornales,Loasaceae,Mentzelia,Mentzelia scabra
Palicourea herrerae Standl.,SPECIES,Plantae,Gentianales,Rubiaceae,Palicourea,Palicourea herrerae
Ficus cuatrecasasiana Dugand,SPECIES,Plantae,Rosales,Moraceae,Ficus,Ficus cuatrecasasiana
Cyclospermum leptophyllum (Pers.) Sprague ex Britton & P.Wilson,SPECIES,Plantae,Apiales,Apiaceae,Cyclospermum,Cyclospermum leptophyllum
Senna pistaciifolia (Kunth) H.S.Irwin & Barneby,SPECIES,Plantae,Fabales,Fabaceae,Senna,Senna pistaciifolia
Ditassa crassa Schltr.,SPECIES,Plantae,Gentianales,Apocynaceae,Ditassa,Ditassa crassa
Cheilanthes pruinata Kaulf.,SPECIES,Plantae,Polypodiales,Pteridaceae,Cheilanthes,Cheilanthes pruinata
Cystopteris fragilis (L.) Bernh.,SPECIES,Plantae,Polypodiales,Cystopteridaceae,Cystopteris,Cystopteris fragilis
Tillandsia nana Baker,SPECIES,Plantae,Poales,Bromeliaceae,Tillandsia,Tillandsia nana
Dennstaedtia glauca (Cav.) C.Chr. ex Looser,SPECIES,Plantae,Polypodiales,Dennstaedtiaceae,Dennstaedtia,Dennstaedtia glauca
Tillandsia recurvata (L.) L.,SPECIES,Plantae,Poales,Bromeliaceae,Tillandsia,Tillandsia recurvata
Adiantum raddianum C.Presl,SPECIES,Plantae,Polypodiales,Pteridaceae,Adiantum,Adiantum raddianum
Nicotiana raimondii J.F.Macbr.,SPECIES,Plantae,Solanales,Solanaceae,Nicotiana,Nicotiana raimondii
Cheilanthes peruviana (Desv.) T.Moore,SPECIES,Plantae,Polypodiales,Pteridaceae,Cheilanthes,Cheilanthes peruviana
Polypodium remotum Desv.,SPECIES,Plantae,Polypodiales,Polypodiaceae,Pleopeltis,Pleopeltis remota
Acacia aroma Gillies ex Hook. & Arn.,SPECIES,Plantae,Fabales,Fabaceae,Vachellia,Vachellia aroma
